
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-03-04 13:48:23 /api/login ................................... ~ 0.02ms
  2026-03-04 13:48:36 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:48:36 /api/login ................................... ~ 0.02ms
  2026-03-04 13:48:45 /api/classesfs ............................... ~ 0.08ms
  2026-03-04 13:48:45 /api/login ................................... ~ 0.03ms
  2026-03-04 13:48:56 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:48:56 /api/login ................................... ~ 0.02ms
  2026-03-04 13:49:05 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:49:05 /api/login ................................... ~ 0.02ms
  2026-03-04 13:49:20 /api/classesfs ............................... ~ 0.22ms
  2026-03-04 13:49:20 /api/login ................................... ~ 0.10ms
  2026-03-04 13:49:39 /api/classesfs ............................... ~ 0.07ms
  2026-03-04 13:49:39 /api/login ................................... ~ 0.02ms
  2026-03-04 13:49:51 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:49:51 /api/login ................................... ~ 0.02ms
  2026-03-04 13:50:02 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:50:02 /api/login ................................... ~ 0.02ms
  2026-03-04 13:50:14 /api/classesfs ............................... ~ 0.08ms
  2026-03-04 13:50:14 /api/login ................................... ~ 0.03ms
  2026-03-04 13:50:26 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:50:26 /api/login ................................... ~ 0.02ms
  2026-03-04 13:50:46 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:50:46 /api/login ................................... ~ 0.02ms
  2026-03-04 13:51:05 /api/classesfs ............................... ~ 0.07ms
  2026-03-04 13:51:05 /api/login ................................. ~ 500.19ms
  2026-03-04 13:51:10 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:51:10 /api/login ................................... ~ 0.02ms
  2026-03-04 13:51:23 /api/classesfs ............................. ~ 500.20ms
  2026-03-04 13:51:23 /api/login ................................... ~ 0.02ms
  2026-03-04 13:51:35 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:51:35 /api/login ................................... ~ 0.02ms
  2026-03-04 13:51:43 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:51:43 /api/login ................................... ~ 0.02ms
  2026-03-04 13:51:49 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:51:49 /api/login ................................... ~ 0.02ms
  2026-03-04 13:52:02 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:52:02 /api/login ................................... ~ 0.03ms
  2026-03-04 13:52:16 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:52:16 /api/login ................................... ~ 0.02ms
  2026-03-04 13:52:23 /api/classesfs ............................... ~ 0.05ms
  2026-03-04 13:52:23 /api/login ................................... ~ 0.02ms
  2026-03-04 13:52:34 /api/classesfs .............................. ~ 69.12ms
  2026-03-04 13:52:34 /api/login ................................... ~ 0.02ms
  2026-03-04 13:52:39 /api/classesfs ............................... ~ 0.21ms
  2026-03-04 13:52:39 /api/login ................................... ~ 0.10ms
  2026-03-04 13:52:51 /api/classesfs ............................... ~ 0.15ms
  2026-03-04 13:52:51 /api/login ................................... ~ 0.07ms
  2026-03-04 13:53:06 /api/classesfs ............................... ~ 0.05ms
  2026-03-04 13:53:06 /api/login ................................... ~ 0.02ms
  2026-03-04 13:53:20 /api/classesfs ............................... ~ 0.08ms
  2026-03-04 13:53:20 /api/login ................................... ~ 0.32ms
  2026-03-04 13:53:23 /api/login ................................... ~ 0.10ms
  2026-03-04 13:53:23 /api/classesfs ................................... ~ 6s
  2026-03-04 13:53:29 /api/login ................................... ~ 0.02ms
  2026-03-04 13:53:45 /api/classesfs ............................... ~ 0.07ms
  2026-03-04 13:53:45 /api/login ................................... ~ 0.03ms
  2026-03-04 13:53:55 /api/classesfs ............................... ~ 0.07ms
  2026-03-04 13:53:55 /api/login ................................... ~ 0.02ms
  2026-03-04 13:54:16 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:54:16 /api/login ................................... ~ 0.02ms
  2026-03-04 13:54:26 /api/classesfs ............................... ~ 0.22ms
  2026-03-04 13:54:26 /api/login ................................... ~ 0.10ms
  2026-03-04 13:54:34 /api/classesfs ............................... ~ 0.21ms
  2026-03-04 13:54:34 /api/login ................................... ~ 0.10ms
  2026-03-04 13:54:46 /api/classesfs ............................... ~ 0.07ms
  2026-03-04 13:54:46 /api/login ................................... ~ 0.02ms
  2026-03-04 13:55:02 /api/classesfs ............................... ~ 0.06ms
  2026-03-04 13:55:02 /api/login ................................. ~ 500.27ms
  2026-03-04 13:55:10 /api/classesfs ............................... ~ 0.08ms
  2026-03-04 13:55:10 /api/login ................................... ~ 0.03ms
  2026-03-04 14:03:29 /api/login ................................. ~ 500.40ms
  2026-03-04 14:03:29 /api/login ................................. ~ 500.23ms
  2026-03-04 16:19:01 /api/login ................................... ~ 0.22ms
  2026-03-04 14:03:29 .......................................... ~ 2h 56m 10s
